year;name;boxOfficeId;won;twitter_mentions
2003;Monster;monster;1;51369
2003;21 Grams;21grams;0;41
2003;House of Sand and Fog;houseofsandandfog;0;1
2003;Pieces of April;piecesofapril;0;3
2003;Mystic River;mysticriver;0;1862
2003;Thirteen;thirteen;0;1352
2003;Cold Mountain;coldmountain;1;58
2003;Girl with a Pearl Earring;girlwithapearlearring;0;8
2003;The Last Samurai;lastsamurai;0;46
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Master and Commander: The Far Side of the World;masterandcommander;0;48
2003;Seabiscuit;seabiscuit;0;969
2003;City of God;cityofgod;0;910
2003;Cold Mountain;coldmountain;0;58
2003;Girl with a Pearl Earring;girlwithapearlearring;0;8
2003;Master and Commander: The Far Side of the World;masterandcommander;1;48
2003;Seabiscuit;seabiscuit;0;969
2003;Girl with a Pearl Earring;girlwithapearlearring;0;8
2003;The Last Samurai;lastsamurai;0;46
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Master and Commander: The Far Side of the World;masterandcommander;0;48
2003;Seabiscuit;seabiscuit;0;969
2003;City of God;cityofgod;0;910
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Lost in Translation;lostintranslation;0;1364
2003;Master and Commander: The Far Side of the World;masterandcommander;0;48
2002;Gangs of New York;gangsofnewyork;0;720
2002;About Schmidt;aboutschmidt;0;13
2002;Adaptation;;1;766
2002;The Hours;hours;0;706
2002;Road to Perdition;roadtoperdition;0;20
2002;Chicago;chicago;0;833067
2002;Catch Me If You Can;catchmeifyoucan;0;649
2002;Frida;frida;0;226419
2002;The Hours;hours;1;706
2002;Unfaithful;unfaithful;0;654
2002;Far from Heaven;;0;18
2002;Chicago;chicago;0;833067
2002;About Schmidt;aboutschmidt;0;13
2002;The Hours;hours;0;706
2002;Chicago;chicago;0;833067
2002;Adaptation;;0;766
2002;Chicago;chicago;1;833067
2002;Chicago;chicago;1;833067
2002;Frida;frida;0;226419
2002;Gangs of New York;gangsofnewyork;0;720
2002;The Lord of the Rings: The Two Towers;twotowers;0;842
2002;Road to Perdition;roadtoperdition;0;20
2002;Chicago;chicago;0;833067
2002;Far from Heaven;;0;18
2002;Gangs of New York;gangsofnewyork;0;720
2002;The Pianist;pianist;0;922
2002;Road to Perdition;roadtoperdition;1;20
2002;Chicago;chicago;1;833067
2002;Frida;frida;0;226419
2002;Gangs of New York;gangsofnewyork;0;720
2002;The Hours;hours;0;706
2002;The Pianist;pianist;0;922
2002;Chicago;chicago;0;833067
2002;Gangs of New York;gangsofnewyork;0;720
2002;The Hours;hours;0;706
2002;The Pianist;pianist;1;922
2002;Talk to Her;talktoher;0;80
2002;Chicago;chicago;1;833067
2002;Gangs of New York;gangsofnewyork;0;720
2002;The Hours;hours;0;706
2002;The Lord of the Rings: The Two Towers;twotowers;0;842
2002;The Pianist;pianist;0;922
2002;El Crimen del Padre Amaro;elcrimendelpadreamaro;0;0
2002;Hero;;0;845419
2002;The Man without a Past;;0;0
2002;Nowhere in Africa;nowhereinafrica;1;2
2002;Zus & Zo;zusandzo;0;0
2002;Frida;frida;1;226419
2002;The Time Machine;timemachine;0;46
2002;Chicago;chicago;1;833067
2002;Gangs of New York;gangsofnewyork;0;720
2002;The Hours;hours;0;706
2002;The Lord of the Rings: The Two Towers;twotowers;0;842
2002;The Pianist;pianist;0;922
2002;Chicago;chicago;1;833067
2002;Gangs of New York;gangsofnewyork;0;720
2002;The Lord of the Rings: The Two Towers;twotowers;0;842
2002;Road to Perdition;roadtoperdition;0;20
2002;Spider-Man;spiderman;0;5224
2002;The Lord of the Rings: The Two Towers;twotowers;1;842
2002;Minority Report;minorityreport;0;261
2002;Road to Perdition;roadtoperdition;0;20
2002;The Lord of the Rings: The Two Towers;twotowers;1;842
2002;Spider-Man;spiderman;0;5224
2002;Star Wars Episode II Attack of the Clones;;0;1
2002;About a Boy;aboutaboy;0;50
2002;Chicago;chicago;0;833067
2002;The Hours;hours;0;706
2002;The Pianist;pianist;1;922
2002;Far from Heaven;;0;18
2002;Gangs of New York;gangsofnewyork;0;720
2002;My Big Fat Greek Wedding;mybigfatgreekwedding;0;538
2002;Talk to Her;talktoher;1;80
2002;Y Tu Mamá También;;0;8
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1017
2003;House of Sand and Fog;houseofsandandfog;0;1
2003;Cold Mountain;coldmountain;0;58
2003;Lost in Translation;lostintranslation;0;1364
2003;Mystic River;mysticriver;1;1862
2003;The Cooler;cooler;0;7
2003;21 Grams;21grams;0;41
2003;In America;inamerica;0;23534
2003;Mystic River;mysticriver;1;1862
2003;The Last Samurai;lastsamurai;0;46
2003;Whale Rider;whalerider;0;7
2003;In America;inamerica;0;23534
2000;Before Night Falls;beforenightfalls;0;25
2000;Gladiator;gladiator;1;32604
2000;Cast Away;castaway;0;344
2000;Pollock;pollock;0;910
2000;Quills;quills;0;104
2000;The Contender;contender;0;40
2000;Shadow of the Vampire;shadowofthevampire;0;2
2000;Traffic;traffic;1;378467
2000;Erin Brockovich;erinbrockovich;0;671
2000;Gladiator;gladiator;0;32604
2000;The Contender;contender;0;40
2000;Chocolat;chocolat;0;609825
2000;Requiem for a Dream;requiemforadream;0;104
2000;You Can Count on Me;youcancountonme;0;22
2000;Erin Brockovich;erinbrockovich;1;671
2000;Chocolat;chocolat;0;609825
2000;Pollock;pollock;1;910
2000;Almost Famous;almostfamous;0;2449
2000;Almost Famous;almostfamous;0;2449
2000;Billy Elliot;billyelliot;0;1798
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;1;198
2000;Gladiator;gladiator;0;32604
2000;Quills;quills;0;104
2000;Vatel;vatel;0;23
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;1;198
2000;Gladiator;gladiator;0;32604
2000;Malèna;;0;2
2000;O Brother, Where Art Thou?;obrotherwhereartthou;0;21
2000;The Patriot;patriot;0;1252
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;198
2000;Gladiator;gladiator;1;32604
2000;102 Dalmatians;102dalmatians;0;7
2000;Quills;quills;0;104
2000;Billy Elliot;billyelliot;0;1798
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;198
2000;Erin Brockovich;erinbrockovich;0;671
2000;Gladiator;gladiator;0;32604
2000;Traffic;traffic;1;378467
2000;Almost Famous;almostfamous;0;2449
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;198
2000;Gladiator;gladiator;0;32604
2000;Traffic;traffic;1;378467
2000;Wonder Boys;wonderboys;0;16
2000;Amores Perros;amoresperros;0;43
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;1;198
2000;Divided We Fall;dividedwefall;0;20
2000;Everybody Famous!;;0;0
2000;The Taste of Others;tasteofothers;0;0
2000;The Cell;cell;0;227
2000;Shadow of the Vampire;shadowofthevampire;0;2
2000;Chocolat;chocolat;0;609825
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;198
2000;Erin Brockovich;erinbrockovich;0;671
2000;Gladiator;gladiator;1;32604
2000;Traffic;traffic;0;378467
2000;Cast Away;castaway;0;344
2000;Gladiator;gladiator;1;32604
2000;The Patriot;patriot;0;1252
2000;The Perfect Storm;perfectstorm;0;68
2000;U-571;u-571;0;19
2000;Space Cowboys;spacecowboys;0;16
2000;U-571;u-571;1;19
2000;Gladiator;gladiator;1;32604
2000;Hollow Man;hollowman;0;28
