year;name;boxOfficeId;won;twitter_mentions
2003;Monster;monster;1;86414
2003;21 Grams;21grams;0;55
2003;House of Sand and Fog;houseofsandandfog;0;4
2003;Pieces of April;piecesofapril;0;6
2003;Mystic River;mysticriver;0;1906
2003;Thirteen;thirteen;0;2920
2003;Cold Mountain;coldmountain;1;79
2003;Girl with a Pearl Earring;girlwithapearlearring;0;23
2003;The Last Samurai;lastsamurai;0;84
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Seabiscuit;seabiscuit;0;1034
2003;City of God;cityofgod;0;959
2003;Cold Mountain;coldmountain;0;79
2003;Girl with a Pearl Earring;girlwithapearlearring;0;23
2003;Master and Commander: The Far Side of the World;masterandcommander;1;63
2003;Seabiscuit;seabiscuit;0;1034
2003;Girl with a Pearl Earring;girlwithapearlearring;0;23
2003;The Last Samurai;lastsamurai;0;84
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Seabiscuit;seabiscuit;0;1034
2003;City of God;cityofgod;0;959
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Lost in Translation;lostintranslation;0;1690
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2002;Gangs of New York;gangsofnewyork;0;762
2002;About Schmidt;aboutschmidt;0;16
2002;Adaptation;;1;2537
2002;The Hours;hours;0;179622
2002;Road to Perdition;roadtoperdition;0;51
2002;Chicago;chicago;0;931612
2002;Catch Me If You Can;catchmeifyoucan;0;1086
2002;Frida;frida;0;279219
2002;The Hours;hours;1;179622
2002;Unfaithful;unfaithful;0;1555
2002;Far from Heaven;;0;54
2002;Chicago;chicago;0;931612
2002;About Schmidt;aboutschmidt;0;16
2002;The Hours;hours;0;179622
2002;Chicago;chicago;0;931612
2002;Adaptation;;0;2537
2002;Chicago;chicago;1;931612
2002;Chicago;chicago;1;931612
2002;Frida;frida;0;279219
2002;Gangs of New York;gangsofnewyork;0;762
2002;The Lord of the Rings: The Two Towers;twotowers;0;2530
2002;Road to Perdition;roadtoperdition;0;51
2002;Chicago;chicago;0;931612
2002;Far from Heaven;;0;54
2002;Gangs of New York;gangsofnewyork;0;762
2002;The Pianist;pianist;0;2077
2002;Road to Perdition;roadtoperdition;1;51
2002;Chicago;chicago;1;931612
2002;Frida;frida;0;279219
2002;Gangs of New York;gangsofnewyork;0;762
2002;The Hours;hours;0;179622
2002;The Pianist;pianist;0;2077
2002;Chicago;chicago;0;931612
2002;Gangs of New York;gangsofnewyork;0;762
2002;The Hours;hours;0;179622
2002;The Pianist;pianist;1;2077
2002;Talk to Her;talktoher;0;4105
2002;Chicago;chicago;1;931612
2002;Gangs of New York;gangsofnewyork;0;762
2002;The Hours;hours;0;179622
2002;The Lord of the Rings: The Two Towers;twotowers;0;2530
2002;The Pianist;pianist;0;2077
2002;El Crimen del Padre Amaro;elcrimendelpadreamaro;0;2
2002;Hero;;0;1043303
2002;The Man without a Past;;0;0
2002;Nowhere in Africa;nowhereinafrica;1;2
2002;Zus & Zo;zusandzo;0;0
2002;Frida;frida;1;279219
2002;The Time Machine;timemachine;0;1626
2002;Chicago;chicago;1;931612
2002;Gangs of New York;gangsofnewyork;0;762
2002;The Hours;hours;0;179622
2002;The Lord of the Rings: The Two Towers;twotowers;0;2530
2002;The Pianist;pianist;0;2077
2002;Chicago;chicago;1;931612
2002;Gangs of New York;gangsofnewyork;0;762
2002;The Lord of the Rings: The Two Towers;twotowers;0;2530
2002;Road to Perdition;roadtoperdition;0;51
2002;Spider-Man;spiderman;0;6137
2002;The Lord of the Rings: The Two Towers;twotowers;1;2530
2002;Minority Report;minorityreport;0;288
2002;Road to Perdition;roadtoperdition;0;51
2002;The Lord of the Rings: The Two Towers;twotowers;1;2530
2002;Spider-Man;spiderman;0;6137
2002;Star Wars Episode II Attack of the Clones;;0;1
2002;About a Boy;aboutaboy;0;339
2002;Chicago;chicago;0;931612
2002;The Hours;hours;0;179622
2002;The Pianist;pianist;1;2077
2002;Far from Heaven;;0;54
2002;Gangs of New York;gangsofnewyork;0;762
2002;My Big Fat Greek Wedding;mybigfatgreekwedding;0;543
2002;Talk to Her;talktoher;1;4105
2002;Y Tu Mamá También;;0;19
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1359
2003;House of Sand and Fog;houseofsandandfog;0;4
2003;Cold Mountain;coldmountain;0;79
2003;Lost in Translation;lostintranslation;0;1690
2003;Mystic River;mysticriver;1;1906
2003;The Cooler;cooler;0;8400
2003;21 Grams;21grams;0;55
2003;In America;inamerica;0;51807
2003;Mystic River;mysticriver;1;1906
2003;The Last Samurai;lastsamurai;0;84
2003;Whale Rider;whalerider;0;7
2003;In America;inamerica;0;51807
2000;Before Night Falls;beforenightfalls;0;27
2000;Gladiator;gladiator;1;35735
2000;Cast Away;castaway;0;453
2000;Pollock;pollock;0;1337
2000;Quills;quills;0;196
2000;The Contender;contender;0;3834
2000;Shadow of the Vampire;shadowofthevampire;0;2
2000;Traffic;traffic;1;644319
2000;Erin Brockovich;erinbrockovich;0;685
2000;Gladiator;gladiator;0;35735
2000;The Contender;contender;0;3834
2000;Chocolat;chocolat;0;697111
2000;Requiem for a Dream;requiemforadream;0;203
2000;You Can Count on Me;youcancountonme;0;242
2000;Erin Brockovich;erinbrockovich;1;685
2000;Chocolat;chocolat;0;697111
2000;Pollock;pollock;1;1337
2000;Almost Famous;almostfamous;0;2553
2000;Almost Famous;almostfamous;0;2553
2000;Billy Elliot;billyelliot;0;1832
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;1;202
2000;Gladiator;gladiator;0;35735
2000;Quills;quills;0;196
2000;Vatel;vatel;0;2489
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;1;202
2000;Gladiator;gladiator;0;35735
2000;Malèna;;0;2
2000;O Brother, Where Art Thou?;obrotherwhereartthou;0;25
2000;The Patriot;patriot;0;30359
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;202
2000;Gladiator;gladiator;1;35735
2000;102 Dalmatians;102dalmatians;0;7
2000;Quills;quills;0;196
2000;Billy Elliot;billyelliot;0;1832
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;202
2000;Erin Brockovich;erinbrockovich;0;685
2000;Gladiator;gladiator;0;35735
2000;Traffic;traffic;1;644319
2000;Almost Famous;almostfamous;0;2553
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;202
2000;Gladiator;gladiator;0;35735
2000;Traffic;traffic;1;644319
2000;Wonder Boys;wonderboys;0;31
2000;Amores Perros;amoresperros;0;66
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;1;202
2000;Divided We Fall;dividedwefall;0;136
2000;Everybody Famous!;;0;0
2000;The Taste of Others;tasteofothers;0;5
2000;The Cell;cell;0;44555
2000;Shadow of the Vampire;shadowofthevampire;0;2
2000;Chocolat;chocolat;0;697111
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;202
2000;Erin Brockovich;erinbrockovich;0;685
2000;Gladiator;gladiator;1;35735
2000;Traffic;traffic;0;644319
2000;Cast Away;castaway;0;453
2000;Gladiator;gladiator;1;35735
2000;The Patriot;patriot;0;30359
2000;The Perfect Storm;perfectstorm;0;344
2000;U-571;u-571;0;19
2000;Space Cowboys;spacecowboys;0;23
2000;U-571;u-571;1;19
2000;Gladiator;gladiator;1;35735
2000;Hollow Man;hollowman;0;58
2000;The Perfect Storm;perfectstorm;0;344
2000;Chocolat;chocolat;0;697111
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;202
2000;O Brother, Where Art Thou?;obrotherwhereartthou;0;25
2000;Traffic;traffic;1;644319
2000;Wonder Boys;wonderboys;0;31
2000;Almost Famous;almostfamous;1;2553
2000;Billy Elliot;billyelliot;0;1832
2000;Erin Brockovich;erinbrockovich;0;685
2000;Gladiator;gladiator;0;35735
2000;You Can Count on Me;youcancountonme;0;242
2001;A Beautiful Mind;beautifulmind;0;1416
2001;I Am Sam;iamsam;0;154
2001;Ali;ali;0;3450554
2001;Training Day;trainingday;1;821
2001;In the Bedroom;inthebedroom;0;1762
2001;Iris;iris;1;97468
2001;Training Day;trainingday;0;821
2001;Sexy Beast;sexybeast;0;847
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Ali;ali;0;3450554
2001;Iris;iris;0;97468
2001;Moulin Rouge;;0;6287
2001;In the Bedroom;inthebedroom;0;1762
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Gosford Park;gosfordpark;0;75
2001;Gosford Park;gosfordpark;0;75
2001;In the Bedroom;inthebedroom;0;1762
2001;Iris;iris;0;97468
2001;Amélie;;0;2010
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Moulin Rouge;;1;6287
2001;Amélie;;0;2010
2001;Black Hawk Down;blackhawkdown;0;1314
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;2530
2001;Moulin Rouge;;0;6287
2001;The Affair of the Necklace;affairofthenecklace;0;1
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Moulin Rouge;;1;6287
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Black Hawk Down;blackhawkdown;0;1314
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Mulholland Drive;mulhollanddrive;0;610
2001;A Beautiful Mind;beautifulmind;0;1416
2001;Black Hawk Down;blackhawkdown;1;1314
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Memento;memento;0;7965
2001;Moulin Rouge;;0;6287
2001;Amélie;;0;2010
2001;Elling;elling;0;169600
2001;Lagaan;lagaan;0;512
2001;Son of the Bride;sonofthebride;0;0
2001;A Beautiful Mind;beautifulmind;0;1416
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;2530
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Gosford Park;gosfordpark;0;75
2001;In the Bedroom;inthebedroom;0;1762
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Moulin Rouge;;0;6287
2001;Black Hawk Down;blackhawkdown;1;1314
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Pearl Harbor;pearlharbor;0;782
2001;Monsters, Inc.;monstersinc;0;415
2001;Pearl Harbor;pearlharbor;1;782
2001;A.I. Artificial Intelligence;ai;0;18
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;2530
2001;Pearl Harbor;pearlharbor;0;782
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Ghost World;ghostworld;0;24
2001;In the Bedroom;inthebedroom;0;1762
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Shrek;shrek;0;4326
2001;Gosford Park;gosfordpark;1;75
2001;Memento;memento;0;7965
2001;The Royal Tenenbaums;royaltenenbaums;0;288
2002;The Pianist;pianist;1;2077
2002;Adaptation;;0;2537
2002;The Quiet American;quietamerican;0;4
2003;Mystic River;mysticriver;0;1906
2003;City of God;cityofgod;0;959
2003;Cold Mountain;coldmountain;0;79
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Seabiscuit;seabiscuit;0;1034
2003;The Barbarian Invasions;barbarianinvasions;1;5
2003;Evil;;0;201649
2003;The Twilight Samurai;;0;1
2003;Twin Sisters;;0;235
2003;Zelary;zelary;0;1
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1359
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Lost in Translation;lostintranslation;0;1690
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Mystic River;mysticriver;0;1906
2003;Seabiscuit;seabiscuit;0;1034
2003;Finding Nemo;findingnemo;0;23468
2003;Master and Commander: The Far Side of the World;masterandcommander;1;63
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1359
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1359
2003;American Splendor;americansplendor;0;8
