year;name;boxOfficeId;twitter_mentions;won
2000;102 Dalmatians;102dalmatians;0;0
2013;12 Years a Slave;twelveyearsaslave;1714;1
2010;127 Hours;127hours;8;0
2003;21 Grams;21grams;4;0
2001;A Beautiful Mind;beautifulmind;7;1
2011;A Better Life;abetterlife;0;0
2005;A History of Violence;historyofviolence;0;0
2009;A Prophet;;1;0
2012;A Royal Affair;aroyalaffair;1;0
2011;A Separation;aseperation;8;1
2009;A Serious Man;seriousman;2;0
2009;A Single Man;singleman;4;0
2004;A Very Long Engagement;verylongengagement;0;0
2001;A.I. Artificial Intelligence;ai;0;0
2002;About a Boy;aboutaboy;1;0
2002;About Schmidt;aboutschmidt;1;0
2007;Across the Universe;acrosstheuniverse;0;0
2002;Adaptation;;25;1
2006;After the Wedding;afterthewedding;0;0
2009;Ajami;ajami;5;0
2011;Albert Nobbs;albertnobbs;0;0
2010;Alice in Wonderland;;2;1
2013;All Is Lost;allislost;9;0
2000;Almost Famous;almostfamous;6;1
2001;Amélie;;0;0
2007;American Gangster;americangangster;5;0
2013;American Hustle;davido2013;928;0
2014;American Sniper;americansniper;1140;1
2003;American Splendor;americansplendor;0;0
2000;Amores Perros;amoresperros;4;0
2012;Amour;amour;262;1
2009;An Education;aneducation;9;0
2010;Animal Kingdom;animalkingdom;0;0
2012;Anna Karenina;annakarenina2012;7;1
2011;Anonymous;anonymous;33;0
2010;Another Year;anotheryear;18;0
2006;Apocalypto;apocalypto;0;0
2012;Argo;argo;1214;1
2004;As It Is in Heaven;;0;0
2007;Atonement;atonement;16;0
2013;August: Osage County;augustosagecounty;183;0
2008;Australia;australia;140;0
2009;Avatar;avatar;109;1
2007;Away from Her;awayfromher;3;0
2006;Babel;babel;40;0
2005;Batman Begins;batmanbegins;0;0
2012;Beasts of the Southern Wild;beastsofthesouthernwild;30;0
2007;Beaufort;beaufort;0;0
2013;Before Midnight;beforemidnight;17;0
2000;Before Night Falls;beforenightfalls;0;0
2004;Before Sunset;beforesunset;1;0
2011;Beginners;beginners;5;1
2004;Being Julia;beingjulia;0;0
2000;Billy Elliot;billyelliot;7;0
2014;Birdman or (The Unexpected Virtue of Ignorance);;0;1
2010;Biutiful;biutiful;2;0
2001;Black Hawk Down;blackhawkdown;2;1
2010;Black Swan;blackswan;18;1
2006;Blood Diamond;blooddiamond;12;0
2013;Blue Jasmine;bluejasmine;411;1
2010;Blue Valentine;bluevalentine;0;0
2006;Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;;0;0
2014;Boyhood;boyhood;1896;1
2011;Bridesmaids;wiigapatow;11;0
2009;Bright Star;brightstar;0;0
2005;Brokeback Mountain;brokebackmountain;23;1
2011;Bullhead;bullhead;0;0
2005;Capote;capote;174;1
2014;Captain America: The Winter Soldier;marvel14b;10;0
2013;Captain Phillips;captainphillips;274;0
2000;Cast Away;castaway;3;0
2002;Catch Me If You Can;catchmeifyoucan;5;0
2008;Changeling;changeling08;0;0
2005;Charlie and the Chocolate Factory;charliechocolate;2;0
2002;Chicago;chicago;1140;1
2006;Children of Men;childrenofmen;9;0
2000;Chocolat;chocolat;321;0
2005;Cinderella Man;cinderellaman;2;0
2003;City of God;cityofgod;5;0
2006;Click;click;121;0
2004;Closer;closer;63;0
2009;Coco before Chanel;;0;0
2003;Cold Mountain;coldmountain;2;1
2004;Collateral;collateral;1;0
2005;Crash;crash05;403;1
2009;Crazy Heart;crazyheart;0;1
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;3;1
2006;Curse of the Golden Flower;curseofthegoldenflower;0;0
2013;Dallas Buyers Club;dallasbuyersclub;1269;1
2014;Dawn of the Planet of the Apes;dawnoftheapes;7;0
2006;Days of Glory (Indigènes);;0;0
2008;Departures;departures;1;1
2003;Dirty Pretty Things;dirtyprettythings;1;0
2009;District 9;district9;4;0
2000;Divided We Fall;dividedwefall;0;0
2012;Django Unchained;djangounchained;92;1
2010;Dogtooth;dogtooth;0;0
2008;Doubt;doubt;89;0
2004;Downfall;downfall;1;0
2006;Dreamgirls;dreamgirls;9;1
2011;Drive;;444;0
2007;Eastern Promises;easternpromises;1;0
2002;El Crimen del Padre Amaro;elcrimendelpadreamaro;0;0
2007;Elizabeth: The Golden Age;goldenage;56;1
2001;Elling;elling;211;0
2000;Erin Brockovich;erinbrockovich;15;1
2004;Eternal Sunshine of the Spotless Mind;eternalsunshine;1;1
2000;Everybody Famous!;;0;0
2003;Evil;;261;0
2011;Extremely Loud & Incredibly Close;extremelyloud;0;0
2002;Far from Heaven;;3;0
2003;Finding Nemo;findingnemo;18;0
2004;Finding Neverland;findingneverland;10;0
2006;Flags of Our Fathers;flagsofourfathers;0;0
2012;Flight;flight;393;0
2011;Footnote;footnote;2;0
2014;Foxcatcher;foxcatcher;220;0
2002;Frida;frida;313;1
2008;Frost/Nixon;frostnixon;2;0
2008;Frozen River;frozenriver;0;0
2002;Gangs of New York;gangsofnewyork;13;0
2001;Ghost World;ghostworld;0;0
2003;Girl with a Pearl Earring;girlwithapearlearring;0;0
2000;Gladiator;gladiator;50;1
2007;Gone Baby Gone;gonebabygone;0;0
2014;Gone Girl;gonegirl;137;0
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;0
2001;Gosford Park;gosfordpark;2;1
2013;Gravity;gravity;6252;1
2014;Guardians of the Galaxy;marvel2014a;12;0
2006;Half Nelson;halfnelson;2;0
2008;Happy-Go-Lucky;happygolucky;2;0
2010;Harry Potter and the Deathly Hallows Part 1;harrypotter7;0;0
2011;Harry Potter and the Deathly Hallows Part 2;harrypotter72;0;0
2005;Harry Potter and the Goblet of Fire;harrypotter4;0;0
2009;Harry Potter and the Half-Blood Prince;harrypotter6;0;0
2004;Harry Potter and the Prisoner of Azkaban;harrypotter3;50;0
2008;Hellboy II: The Golden Army;hellboy2;0;0
2013;Her;;29911;1
2010;Hereafter;hereafter;3;0
2002;Hero;;3141;0
2000;Hollow Man;hollowman;0;0
2004;Hotel Rwanda;hotelrwanda;6;0
2004;House of Flying Daggers;houseofflyingdaggers;0;0
2003;House of Sand and Fog;houseofsandandfog;0;0
2011;Hugo;hugocabret;1206;1
2005;Hustle & Flow;;0;0
2010;I Am Love;iamlove;0;0
2001;I Am Sam;iamsam;1;0
2004;I, Robot;irobot;0;0
2014;Ida;ida;5163;1
2009;Il Divo;ildivo;0;0
2010;In a Better World;inabetterworld;0;1
2003;In America;inamerica;94;0
2008;In Bruges;inbruges;1;0
2011;In Darkness;indarkness;0;0
2001;In the Bedroom;inthebedroom;1;0
2009;In the Loop;intheloop;1;0
2007;In the Valley of Elah;inthevalleyofelah;0;0
2010;Incendies;;0;0
2010;Inception;inception;77;1
2009;Inglourious Basterds;inglouriousbasterds;6;1
2014;Inherent Vice;inherentvice;7;0
2013;Inside Llewyn Davis;insidellewyndavis;43;0
2014;Interstellar;interstellar;259;1
2007;Into the Wild;intothewild;1;0
2014;Into the Woods;intothewoods;22;0
2009;Invictus;eastwood09;2;0
2001;Iris;iris;176;1
2008;Iron Man;ironman;14;0
2010;Iron Man 2;ironman2;1;0
2013;Iron Man 3;ironman3;10;0
2011;Jane Eyre;janeeyre2011;0;0
2005;Joyeux Noël;;0;0
2009;Julie & Julia;julieandjulia;0;0
2005;Junebug;junebug;0;0
2007;Juno;juno;126;1
2007;Katyn;;1;0
2005;King Kong;kingkong05;1;1
2004;Kinsey;kinsey;2;0
2012;Kon-Tiki;kontiki;1;0
2007;La Vie en Rose;lavieenrose;4;1
2001;Lagaan;lagaan;1;0
2007;Lars and the Real Girl;larsandtherealgirl;0;0
2012;Les Misérables;;24;1
2006;Letters from Iwo Jima;lettersfromiwojima;0;1
2014;Leviathan;;6;0
2012;Life of Pi;lifeofpi;134;1
2012;Lincoln;lincoln;650;1
2006;Little Children;littlechildren;1;0
2006;Little Miss Sunshine;littlemisssunshine;6;1
2013;Lone Survivor;lonesurvivor;10;0
2003;Lost in Translation;lostintranslation;13;1
2000;Malèna;;0;0
2014;Maleficent;maleficient;19;0
2011;Margin Call;margincall;0;0
2004;Maria Full of Grace;mariafullofgrace;0;0
2006;Marie Antoinette;marieantoinette;1;1
2003;Master and Commander: The Far Side of the World;masterandcommander;0;1
2005;Match Point;matchpoint;0;0
2001;Memento;memento;6;0
2005;Memoirs of a Geisha;memoirsofageisha;0;1
2007;Michael Clayton;michaelclayton;1;1
2011;Midnight in Paris;midnightinparis;5;1
2008;Milk;milk;250;1
2004;Million Dollar Baby;milliondollarbaby;25;1
2002;Minority Report;minorityreport;2;0
2012;Mirror Mirror;untitledsnowwhite;1;0
2011;Moneyball;moneyball;21;0
2007;Mongol;mongol;7;0
2011;Monsieur Lazhar;;0;0
